"","X","Id","Label","timeset","modularity_class","labeldiff","kingdom","phylum","class","order","family","genus","species","name","abun","module2"
"1",1,"Zotu1024","Zotu1024",NA,0,"other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae",NA,"Zotu1024",0.000213,"0"
"2",2,"Zotu102","Zotu102",NA,0,"other","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Zotu102",0.002069,"0"
"3",3,"Zotu1027","Zotu1027",NA,0,"other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485","uncultured_soil","Zotu1027",0.000193,"0"
"4",4,"Zotu1017","Zotu1017",NA,0,"other","Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured",NA,"Zotu1017",0.000222,"0"
"5",5,"Zotu104","Zotu104",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu104",0.000913,"1"
"6",6,"Zotu1","Zotu1",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Zotu1",0.021815,"1"
"7",7,"Zotu10430","Zotu10430",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu10430",0.000194,"1"
"8",8,"Zotu10300","Zotu10300",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu10300",0.00024,"1"
"9",9,"Zotu10514","Zotu10514",NA,13,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",NA,NA,"Zotu10514",0.000312,"13"
"10",10,"Zotu1044","Zotu1044",NA,13,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1044",0.000179,"13"
"11",11,"Zotu1080","Zotu1080",NA,21,"other","Bacteria","TA06","TA06","TA06","TA06","TA06","uncultured_soil","Zotu1080",0.000232,"21"
"12",12,"Zotu1072","Zotu1072",NA,21,"other","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)",NA,"Zotu1072",0.000239,"21"
"13",13,"Zotu1102","Zotu1102",NA,13,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1102",0.000199,"13"
"14",14,"Zotu1103","Zotu1103",NA,0,"other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA,"Zotu1103",0.000196,"0"
"15",15,"Zotu1007","Zotu1007",NA,0,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1007",0.000198,"0"
"16",16,"Zotu1110","Zotu1110",NA,13,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1110",0.000155,"13"
"17",17,"Zotu1111","Zotu1111",NA,0,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1111",0.000136,"0"
